"song_name","song_popularity","song_duration_ms","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","audio_mode","speechiness","tempo","time_signature","audio_valence","artist_name","album_names","playlist","image"
"Sangria Wine","75","202853","0.18100000000000002","0.831","0.713","0.0","1","0.0572","-3.6460000000000004","0","0.094","132.109","4","0.69","Pharrell Williams","Sangria Wine","100% LatinX","//upload.wikimedia.org/wikipedia/en/thumb/e/e2/Pharrell_Williams_and_Camila_Cabello_-_Sangria_Wine_%28Official_Single_Cover%29.png/220px-Pharrell_Williams_and_Camila_Cabello_-_Sangria_Wine_%28Official_Single_Cover%29.png"
"All Day","45","198386","0.0797","0.825","0.48100000000000004","0.0","2","0.239","-8.6","1","0.0396","121.046","4","0.7609999999999999","DaniLeigh","Summer With Friends","100% LatinX","undefined"
"Just As I Am","53","224413","0.235","0.682","0.7509999999999999","0.0","8","0.11","-5.812","0","0.0675","129.937","4","0.708","Spiff TV","Just As I Am","100% LatinX","undefined"
"Nice & Slow","38","218448","0.006940000000000001","0.799","0.616","0.00237","5","0.28300000000000003","-4.599","0","0.0415","127.023","4","0.6970000000000001","Nina Sky","Nice & Slow","100% LatinX","//upload.wikimedia.org/wikipedia/en/thumb/c/ca/Nice_%26_Slow.jpg/220px-Nice_%26_Slow.jpg"
"Lo Siento","68","226183","0.0705","0.746","0.738","0.0","9","0.043","-3.67","1","0.207","94.80799999999999","4","0.63","SUPER JUNIOR","REPLAY - The 8th Repackage Album","100% LatinX","undefined"
"Better With You","68","196018","0.265","0.784","0.43700000000000006","6.979999999999999e-05","5","0.126","-7.867999999999999","1","0.0509","90.00299999999999","4","0.47","Michl","Better With You","100% LatinX","//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Better_with_You_sitcom_logo.png/250px-Better_with_You_sitcom_logo.png"
"Alright","43","229038","0.0199","0.561","0.58","0.0","5","0.0619","-5.612","1","0.0414","84.98","4","0.294","Anthony Ramos","Alright","100% LatinX","undefined"
"Insecure","53","191906","0.369","0.483","0.685","0.0","10","0.0817","-3.2319999999999998","0","0.174","185.502","4","0.546","Amara La Negra","Insecure","100% LatinX","undefined"
"Sunny Daze","40","167823","0.569","0.853","0.7140000000000001","0.0101","7","0.0716","-6.1770000000000005","1","0.0767","92.375","4","0.836","Salaam Remi","South Beach Social Club","100% LatinX","undefined"
"Island","37","194011","0.11800000000000001","0.743","0.7929999999999999","6.07e-05","2","0.22699999999999998","-5.032","0","0.0546","109.921","4","0.434","Lil Eddie","Island","100% LatinX","undefined"
"Rock Your Body","74","267266","0.20199999999999999","0.8909999999999999","0.7140000000000001","0.000234","4","0.0521","-6.055","0","0.14","100.97200000000001","4","0.818","Justin Timberlake","Justified","2000s Smash Hits","//upload.wikimedia.org/wikipedia/en/thumb/c/cf/Rock_Your_Body_cover.png/220px-Rock_Your_Body_cover.png"
"Beautiful Girls","10","241933","0.159","0.745","0.6659999999999999","0.0","9","0.302","-5.899","1","0.0566","129.995","4","0.708","Sean Kingston","Sean Kingston","2000s Smash Hits","//upload.wikimedia.org/wikipedia/en/thumb/f/f6/Sean_Kingston_Beautiful_Girls.jpg/220px-Sean_Kingston_Beautiful_Girls.jpg"
